Channel;OrderDate;Month-Year;OrderQuantity;UnitPrice;UnitCost
In-Store;06/08/2018;2018-08;2;1052;494
Distributor;06/08/2018;2018-08;5;228;107
Distributor;06/08/2018;2018-08;5;1079;507
Wholesale;06/08/2018;2018-08;8;1005;744
Distributor;06/08/2018;2018-08;5;2486;1317
In-Store;06/08/2018;2018-08;3;2660;2155
In-Store;06/09/2018;2018-09;1;2224;1579
In-Store;06/09/2018;2018-09;7;2472;1261
In-Store;06/09/2018;2018-09;5;1012;799
Wholesale;06/09/2018;2018-09;6;235;129
Online;06/09/2018;2018-09;4;261;144
Online;06/09/2018;2018-09;7;4007;2845
In-Store;06/09/2018;2018-09;7;1333;867
In-Store;06/10/2018;2018-10;5;168;90
Online;06/10/2018;2018-10;7;3196;1822
Online;06/10/2018;2018-10;1;1052;810
Online;06/10/2018;2018-10;4;5447;3541
Online;06/10/2018;2018-10;2;3183;1973
In-Store;06/11/2018;2018-11;3;891;633
Online;06/11/2018;2018-11;2;3893;2725
Online;06/11/2018;2018-11;2;3953;3360
Online;06/11/2018;2018-11;2;925;546
Online;06/11/2018;2018-11;7;3430;1990
Distributor;06/11/2018;2018-11;7;1152;622
Distributor;06/11/2018;2018-11;4;1085;923
In-Store;06/12/2018;2018-12;5;5032;4025
Distributor;06/12/2018;2018-12;7;1092;437
Wholesale;06/12/2018;2018-12;7;188;144
Online;06/12/2018;2018-12;4;3993;2835
Online;06/12/2018;2018-12;5;2472;1434
In-Store;06/12/2018;2018-12;4;1206;844
Online;06/12/2018;2018-12;5;1729;985
Wholesale;06/12/2018;2018-12;7;1983;1448
Online;06/12/2018;2018-12;2;5313;2657
Distributor;06/12/2018;2018-12;5;871;566
Online;13/06/2018;2018-06;2;2533;2051
Online;13/06/2018;2018-06;4;5916;4674
Online;13/06/2018;2018-06;1;2888;1444
In-Store;13/06/2018;2018-06;7;1856;1448
In-Store;13/06/2018;2018-06;5;208;135
In-Store;13/06/2018;2018-06;3;1059;773
Online;13/06/2018;2018-06;7;958;517
In-Store;13/06/2018;2018-06;7;2660;1676
In-Store;13/06/2018;2018-06;3;2218;1708
Online;14/06/2018;2018-06;1;1715;858
In-Store;14/06/2018;2018-06;7;3933;1691
In-Store;14/06/2018;2018-06;2;2546;1910
Online;14/06/2018;2018-06;1;838;603
Online;14/06/2018;2018-06;3;1809;1302
Wholesale;14/06/2018;2018-06;8;858;515
In-Store;14/06/2018;2018-06;6;1749;1102
Wholesale;14/06/2018;2018-06;1;1266;582
In-Store;14/06/2018;2018-06;5;5059;3592
Distributor;14/06/2018;2018-06;7;958;795
Online;14/06/2018;2018-06;8;1802;757
In-Store;15/06/2018;2018-06;4;6298;4535
Online;15/06/2018;2018-06;1;2499;1824
In-Store;15/06/2018;2018-06;3;871;706
In-Store;15/06/2018;2018-06;1;750;360
Wholesale;15/06/2018;2018-06;8;764;504
In-Store;15/06/2018;2018-06;6;844;566
In-Store;15/06/2018;2018-06;7;261;112
Online;15/06/2018;2018-06;2;4000;2360
In-Store;15/06/2018;2018-06;6;1112;812
In-Store;15/06/2018;2018-06;2;2633;1843
Distributor;15/06/2018;2018-06;6;1018;631
In-Store;15/06/2018;2018-06;4;5219;3445
Distributor;15/06/2018;2018-06;1;4000;2360
Online;16/06/2018;2018-06;5;1722;1085
In-Store;16/06/2018;2018-06;6;737;457
Online;16/06/2018;2018-06;3;1219;695
In-Store;16/06/2018;2018-06;8;891;713
In-Store;16/06/2018;2018-06;1;978;743
In-Store;16/06/2018;2018-06;1;3946;1657
In-Store;16/06/2018;2018-06;2;1300;923
Online;17/06/2018;2018-06;4;5816;2791
In-Store;17/06/2018;2018-06;6;1092;655
Distributor;17/06/2018;2018-06;6;1072;643
Online;17/06/2018;2018-06;5;4020;2653
Online;17/06/2018;2018-06;4;985;670
Distributor;17/06/2018;2018-06;7;228;100
In-Store;17/06/2018;2018-06;3;3993;3314
Online;17/06/2018;2018-06;4;221;186
Online;18/06/2018;2018-06;6;3357;2820
In-Store;18/06/2018;2018-06;1;1702;1157
In-Store;18/06/2018;2018-06;3;2566;2181
In-Store;18/06/2018;2018-06;4;221;126
In-Store;18/06/2018;2018-06;1;1782;980
Distributor;18/06/2018;2018-06;8;2003;801
Distributor;18/06/2018;2018-06;5;2385;1503
Online;18/06/2018;2018-06;1;2231;1785
In-Store;18/06/2018;2018-06;1;1005;412
Distributor;18/06/2018;2018-06;7;2693;1939
Online;18/06/2018;2018-06;4;1106;652
Online;19/06/2018;2018-06;1;1910;1088
Distributor;19/06/2018;2018-06;7;1119;850
In-Store;19/06/2018;2018-06;7;1039;758
In-Store;19/06/2018;2018-06;6;6325;4301
In-Store;19/06/2018;2018-06;7;1005;503
In-Store;19/06/2018;2018-06;5;1293;659
In-Store;19/06/2018;2018-06;6;844;540
In-Store;19/06/2018;2018-06;4;248;196
Distributor;19/06/2018;2018-06;7;174;139
In-Store;20/06/2018;2018-06;6;1025;707
Distributor;20/06/2018;2018-06;3;3069;2301
Online;20/06/2018;2018-06;2;241;116
In-Store;20/06/2018;2018-06;1;174;139
In-Store;20/06/2018;2018-06;2;2506;1804
Distributor;20/06/2018;2018-06;7;2600;1638
Online;20/06/2018;2018-06;6;2278;1503
Distributor;21/06/2018;2018-06;2;1092;590
Wholesale;21/06/2018;2018-06;5;1139;934
In-Store;21/06/2018;2018-06;2;1675;1072
Wholesale;21/06/2018;2018-06;2;1012;688
Wholesale;21/06/2018;2018-06;7;938;413
Wholesale;21/06/2018;2018-06;8;2566;1052
Distributor;22/06/2018;2018-06;5;871;375
In-Store;22/06/2018;2018-06;1;2486;1790
In-Store;22/06/2018;2018-06;4;2345;1923
Online;22/06/2018;2018-06;2;1119;750
In-Store;22/06/2018;2018-06;4;1997;1398
In-Store;22/06/2018;2018-06;1;710;391
Online;22/06/2018;2018-06;4;3980;1791
In-Store;22/06/2018;2018-06;3;1025;441
In-Store;22/06/2018;2018-06;7;2519;1310
Online;22/06/2018;2018-06;7;5032;3472
Online;23/06/2018;2018-06;1;1829;768
In-Store;23/06/2018;2018-06;5;1072;900
In-Store;23/06/2018;2018-06;1;2539;1828
In-Store;23/06/2018;2018-06;1;3899;2028
In-Store;24/06/2018;2018-06;3;5045;3380
Online;24/06/2018;2018-06;8;1005;523
Wholesale;24/06/2018;2018-06;7;2439;1219
In-Store;25/06/2018;2018-06;4;3337;2035
In-Store;25/06/2018;2018-06;4;1099;857
Online;25/06/2018;2018-06;2;1903;970
Online;25/06/2018;2018-06;4;3477;2191
Wholesale;26/06/2018;2018-06;1;2600;1482
Online;26/06/2018;2018-06;1;1079;507
Online;26/06/2018;2018-06;5;1045;533
Online;26/06/2018;2018-06;2;1126;788
In-Store;26/06/2018;2018-06;8;1106;763
Online;26/06/2018;2018-06;1;2606;1668
Distributor;26/06/2018;2018-06;8;228;96
Distributor;26/06/2018;2018-06;7;168;124
In-Store;26/06/2018;2018-06;3;1146;538
In-Store;26/06/2018;2018-06;7;2600;2158
Distributor;27/06/2018;2018-06;1;3940;1970
In-Store;27/06/2018;2018-06;8;2881;1585
In-Store;27/06/2018;2018-06;2;3853;2003
Wholesale;27/06/2018;2018-06;2;1139;547
Distributor;27/06/2018;2018-06;4;2519;2041
In-Store;27/06/2018;2018-06;1;1193;704
In-Store;27/06/2018;2018-06;5;2412;1013
In-Store;27/06/2018;2018-06;7;2479;2058
Wholesale;27/06/2018;2018-06;7;1956;1330
Online;27/06/2018;2018-06;5;1079;723
In-Store;27/06/2018;2018-06;1;1213;946
Online;27/06/2018;2018-06;5;978;822
In-Store;27/06/2018;2018-06;3;174;120
Online;27/06/2018;2018-06;3;1126;630
Online;28/06/2018;2018-06;6;1065;469
Online;28/06/2018;2018-06;5;3893;2725
Online;28/06/2018;2018-06;2;208;120
In-Store;28/06/2018;2018-06;7;1186;949
In-Store;28/06/2018;2018-06;2;2586;1629
In-Store;28/06/2018;2018-06;4;2580;1960
Online;28/06/2018;2018-06;8;6378;2806
Distributor;28/06/2018;2018-06;7;3008;2226
In-Store;28/06/2018;2018-06;3;1755;930
Online;28/06/2018;2018-06;8;1139;740
In-Store;28/06/2018;2018-06;5;6157;4556
Online;28/06/2018;2018-06;7;2231;1093
In-Store;28/06/2018;2018-06;7;2479;1859
Distributor;29/06/2018;2018-06;4;6392;4794
Wholesale;29/06/2018;2018-06;2;1139;661
Online;29/06/2018;2018-06;3;2586;1681
In-Store;29/06/2018;2018-06;4;3899;1872
In-Store;29/06/2018;2018-06;8;951;599
In-Store;30/06/2018;2018-06;1;5608;3477
In-Store;30/06/2018;2018-06;2;1166;828
Online;30/06/2018;2018-06;2;1950;1521
Distributor;30/06/2018;2018-06;8;3685;2690
Distributor;30/06/2018;2018-06;2;2633;1817
Online;30/06/2018;2018-06;1;1072;461
In-Store;30/06/2018;2018-06;1;3538;1910
In-Store;30/06/2018;2018-06;8;1092;622
In-Store;30/06/2018;2018-06;4;1749;1137
Online;30/06/2018;2018-06;8;891;740
In-Store;30/06/2018;2018-06;5;3082;1510
In-Store;30/06/2018;2018-06;5;1126;777
In-Store;30/06/2018;2018-06;6;1253;652
Wholesale;07/01/2018;2018-01;1;838;528
Wholesale;07/01/2018;2018-01;1;1032;774
Online;07/01/2018;2018-01;4;2385;1455
In-Store;07/01/2018;2018-01;2;1802;1153
Wholesale;07/01/2018;2018-01;5;1018;754
Online;07/01/2018;2018-01;7;3946;1815
In-Store;07/01/2018;2018-01;7;3953;2095
In-Store;07/02/2018;2018-02;6;5099;3416
Online;07/02/2018;2018-02;8;3759;1955
Distributor;07/02/2018;2018-02;7;911;611
Distributor;07/02/2018;2018-02;3;905;380
Online;07/02/2018;2018-02;3;911;410
Online;07/02/2018;2018-02;5;228;134
In-Store;07/02/2018;2018-02;4;255;117
Wholesale;07/02/2018;2018-02;3;683;444
In-Store;07/03/2018;2018-03;7;3920;2234
Wholesale;07/03/2018;2018-03;8;1092;786
In-Store;07/04/2018;2018-04;4;925;536
Online;07/04/2018;2018-04;8;1018;794
In-Store;07/04/2018;2018-04;7;1789;1306
Distributor;07/04/2018;2018-04;2;945;538
Wholesale;07/04/2018;2018-04;3;3960;2574
In-Store;07/04/2018;2018-04;5;168;70
Wholesale;07/04/2018;2018-04;2;3873;1975
In-Store;07/04/2018;2018-04;8;6539;3858
Distributor;07/04/2018;2018-04;1;1025;779
Distributor;07/04/2018;2018-04;3;938;572
Wholesale;07/04/2018;2018-04;3;1045;805
Wholesale;07/04/2018;2018-04;8;168;112
Online;07/04/2018;2018-04;5;1722;1378
Online;07/05/2018;2018-05;3;677;467
In-Store;07/05/2018;2018-05;2;168;82
In-Store;07/05/2018;2018-05;5;1119;895
Wholesale;07/05/2018;2018-05;3;1139;934
In-Store;07/05/2018;2018-05;4;1749;752
In-Store;07/05/2018;2018-05;8;1729;1141
Wholesale;07/05/2018;2018-05;8;1112;500
In-Store;07/05/2018;2018-05;6;2385;1455
Wholesale;07/05/2018;2018-05;8;221;172
Distributor;07/06/2018;2018-06;7;5708;2683
Online;07/06/2018;2018-06;1;1039;831
In-Store;07/06/2018;2018-06;4;3993;3234
Online;07/06/2018;2018-06;8;1085;792
Online;07/06/2018;2018-06;7;3886;2021
In-Store;07/06/2018;2018-06;3;3987;2671
Online;07/06/2018;2018-06;3;1206;989
Wholesale;07/07/2018;2018-07;1;1843;1050
Wholesale;07/07/2018;2018-07;3;5052;2930
Online;07/07/2018;2018-07;1;1166;466
Online;07/07/2018;2018-07;8;3966;2340
Online;07/07/2018;2018-07;3;1802;1496
Online;07/08/2018;2018-08;5;1106;851
Online;07/08/2018;2018-08;7;1889;1398
Online;07/08/2018;2018-08;7;1018;662
In-Store;07/08/2018;2018-08;5;3866;2822
Wholesale;07/08/2018;2018-08;7;998;449
Online;07/08/2018;2018-08;2;255;127
Online;07/08/2018;2018-08;5;704;317
Distributor;07/08/2018;2018-08;6;1092;546
Online;07/08/2018;2018-08;4;1039;561
In-Store;07/08/2018;2018-08;4;2399;1895
Wholesale;07/09/2018;2018-09;4;898;368
Distributor;07/09/2018;2018-09;7;5213;3180
Online;07/09/2018;2018-09;3;255;206
In-Store;07/09/2018;2018-09;4;3926;2120
Online;07/09/2018;2018-09;8;1166;583
In-Store;07/09/2018;2018-09;1;3859;2354
In-Store;07/09/2018;2018-09;6;168;101
Distributor;07/09/2018;2018-09;8;1682;891
Distributor;07/09/2018;2018-09;8;925;666
Distributor;07/09/2018;2018-09;6;3966;3371
Online;07/09/2018;2018-09;7;938;450
In-Store;07/10/2018;2018-10;6;1983;1091
In-Store;07/10/2018;2018-10;7;2586;2095
In-Store;07/11/2018;2018-11;3;3062;2051
Wholesale;07/11/2018;2018-11;1;1052;452
Distributor;07/11/2018;2018-11;8;261;105
In-Store;07/11/2018;2018-11;6;6144;3072
Distributor;07/11/2018;2018-11;7;2472;1928
In-Store;07/11/2018;2018-11;3;3893;3075
In-Store;07/11/2018;2018-11;1;965;492
In-Store;07/11/2018;2018-11;8;3832;3104
In-Store;07/11/2018;2018-11;7;965;781
In-Store;07/11/2018;2018-11;1;1119;794
Online;07/11/2018;2018-11;8;181;74
Distributor;07/11/2018;2018-11;7;844;346
In-Store;07/11/2018;2018-11;7;3491;1780
Online;07/12/2018;2018-12;5;1112;779
In-Store;07/12/2018;2018-12;1;1072;568
Distributor;07/12/2018;2018-12;3;1079;906
Wholesale;07/12/2018;2018-12;7;5434;3858
Online;07/12/2018;2018-12;8;3906;3164
Online;07/12/2018;2018-12;4;2459;2090
Distributor;07/12/2018;2018-12;3;1112;856
In-Store;07/12/2018;2018-12;4;1065;746
In-Store;07/12/2018;2018-12;6;1863;1360
Wholesale;07/12/2018;2018-12;7;1822;1185
Wholesale;07/12/2018;2018-12;7;1065;575
Online;07/12/2018;2018-12;3;5876;4289
In-Store;07/12/2018;2018-12;3;1729;709
Distributor;13/07/2018;2018-07;4;3832;2453
Distributor;13/07/2018;2018-07;1;1025;861
Distributor;13/07/2018;2018-07;4;1816;944
In-Store;13/07/2018;2018-07;2;3839;1689
In-Store;13/07/2018;2018-07;1;2425;1431
In-Store;13/07/2018;2018-07;6;3866;1972
In-Store;13/07/2018;2018-07;2;2653;1857
Online;13/07/2018;2018-07;2;992;595
Distributor;13/07/2018;2018-07;5;2513;2060
Distributor;14/07/2018;2018-07;6;2613;1333
Distributor;14/07/2018;2018-07;5;5722;3376
In-Store;14/07/2018;2018-07;2;1769;831
Online;14/07/2018;2018-07;5;2606;1251
Online;14/07/2018;2018-07;8;2452;1569
Distributor;14/07/2018;2018-07;1;965;695
Distributor;15/07/2018;2018-07;5;1126;563
Distributor;15/07/2018;2018-07;5;858;549
In-Store;15/07/2018;2018-07;7;3906;1797
In-Store;15/07/2018;2018-07;5;1079;507
Online;15/07/2018;2018-07;1;2432;1265
Online;15/07/2018;2018-07;8;958;537
Wholesale;16/07/2018;2018-07;8;864;726
In-Store;16/07/2018;2018-07;2;864;700
In-Store;16/07/2018;2018-07;6;891;579
Online;16/07/2018;2018-07;5;3980;2069
Online;16/07/2018;2018-07;5;838;469
Online;16/07/2018;2018-07;2;2318;1739
In-Store;16/07/2018;2018-07;6;1822;802
Distributor;16/07/2018;2018-07;4;1166;665
Distributor;16/07/2018;2018-07;7;235;188
Online;17/07/2018;2018-07;5;2452;1913
In-Store;17/07/2018;2018-07;8;261;133
Distributor;17/07/2018;2018-07;4;1032;454
Online;17/07/2018;2018-07;3;3082;1849
Distributor;17/07/2018;2018-07;3;6405;3139
In-Store;17/07/2018;2018-07;6;1822;948
Wholesale;17/07/2018;2018-07;8;1280;1062
Online;17/07/2018;2018-07;1;3933;2635
In-Store;17/07/2018;2018-07;3;201;80
Wholesale;17/07/2018;2018-07;1;3946;2131
Wholesale;18/07/2018;2018-07;7;1910;1318
In-Store;18/07/2018;2018-07;7;2412;1110
In-Store;18/07/2018;2018-07;6;965;675
Distributor;18/07/2018;2018-07;5;1997;1458
Online;18/07/2018;2018-07;7;1045;700
In-Store;18/07/2018;2018-07;1;3879;3220
Distributor;18/07/2018;2018-07;6;5976;3466
Online;18/07/2018;2018-07;1;2258;1264
Online;19/07/2018;2018-07;4;241;154
In-Store;19/07/2018;2018-07;8;1983;793
In-Store;19/07/2018;2018-07;1;3920;3332
Online;19/07/2018;2018-07;7;241;135
Online;19/07/2018;2018-07;4;3946;2013
Online;19/07/2018;2018-07;3;3966;3054
In-Store;19/07/2018;2018-07;5;1829;1463
In-Store;19/07/2018;2018-07;6;2734;1230
In-Store;19/07/2018;2018-07;8;844;718
In-Store;20/07/2018;2018-07;4;6231;4922
Online;20/07/2018;2018-07;3;1159;614
In-Store;20/07/2018;2018-07;1;3966;2380
Online;20/07/2018;2018-07;4;1106;741
In-Store;20/07/2018;2018-07;5;1126;732
Distributor;20/07/2018;2018-07;5;898;709
Online;20/07/2018;2018-07;5;208;83
In-Store;20/07/2018;2018-07;5;3960;2138
Online;21/07/2018;2018-07;7;1755;913
In-Store;21/07/2018;2018-07;3;3002;1651
Online;21/07/2018;2018-07;6;1032;464
In-Store;21/07/2018;2018-07;4;3966;2776
Online;21/07/2018;2018-07;5;1682;1127
In-Store;21/07/2018;2018-07;1;1173;809
Online;21/07/2018;2018-07;7;717;473
Distributor;21/07/2018;2018-07;7;6466;3879
Distributor;21/07/2018;2018-07;1;241;101
Online;21/07/2018;2018-07;1;1930;849
Distributor;21/07/2018;2018-07;8;3953;3281
Online;22/07/2018;2018-07;2;2492;1321
Online;22/07/2018;2018-07;7;241;186
In-Store;22/07/2018;2018-07;5;951;381
Distributor;22/07/2018;2018-07;4;6218;5285
In-Store;22/07/2018;2018-07;6;2352;1246
Distributor;22/07/2018;2018-07;6;1132;872
Distributor;22/07/2018;2018-07;3;1146;607
Distributor;22/07/2018;2018-07;3;3725;2049
Distributor;22/07/2018;2018-07;7;945;690
Online;22/07/2018;2018-07;3;1219;561
Distributor;22/07/2018;2018-07;4;1052;736
In-Store;22/07/2018;2018-07;2;208;135
Online;22/07/2018;2018-07;4;1863;1099
Wholesale;22/07/2018;2018-07;3;1889;1153
Distributor;22/07/2018;2018-07;8;2653;2016
Distributor;22/07/2018;2018-07;2;3953;1818
In-Store;22/07/2018;2018-07;3;228;191
Online;23/07/2018;2018-07;1;3879;1552
In-Store;23/07/2018;2018-07;1;1045;805
In-Store;23/07/2018;2018-07;2;5072;2536
In-Store;23/07/2018;2018-07;1;241;145
In-Store;23/07/2018;2018-07;8;2298;1540
In-Store;23/07/2018;2018-07;7;3846;1846
Wholesale;23/07/2018;2018-07;6;2425;1043
In-Store;24/07/2018;2018-07;8;1206;663
In-Store;24/07/2018;2018-07;8;221;179
Wholesale;24/07/2018;2018-07;3;3826;2563
Distributor;24/07/2018;2018-07;5;858;394
Online;24/07/2018;2018-07;3;3826;2563
Online;24/07/2018;2018-07;8;1997;898
Distributor;24/07/2018;2018-07;1;235;122
Online;24/07/2018;2018-07;8;1896;948
In-Store;25/07/2018;2018-07;2;208;87
Distributor;25/07/2018;2018-07;1;168;126
Wholesale;25/07/2018;2018-07;1;3987;2591
Online;25/07/2018;2018-07;8;2546;1018
Wholesale;25/07/2018;2018-07;1;864;380
Distributor;25/07/2018;2018-07;1;1876;1351
Online;25/07/2018;2018-07;5;248;164
Online;25/07/2018;2018-07;2;5052;3435
Wholesale;25/07/2018;2018-07;4;1012;668
In-Store;25/07/2018;2018-07;6;1863;1248
Online;25/07/2018;2018-07;6;1246;660
Distributor;26/07/2018;2018-07;1;1688;1216
In-Store;26/07/2018;2018-07;8;5916;4674
Online;26/07/2018;2018-07;3;5132;2771
In-Store;26/07/2018;2018-07;2;1119;839
In-Store;26/07/2018;2018-07;6;5836;3968
Distributor;26/07/2018;2018-07;5;6037;3139
Online;26/07/2018;2018-07;7;1032;825
Wholesale;26/07/2018;2018-07;5;5956;4408
Distributor;26/07/2018;2018-07;7;3933;2989
Distributor;26/07/2018;2018-07;5;5889;4417
Distributor;26/07/2018;2018-07;8;2459;1647
Online;26/07/2018;2018-07;8;3913;2035
Distributor;27/07/2018;2018-07;2;5668;3571
Online;27/07/2018;2018-07;1;5548;4216
Distributor;28/07/2018;2018-07;1;201;96
In-Store;28/07/2018;2018-07;6;248;198
In-Store;28/07/2018;2018-07;1;3859;3126
In-Store;28/07/2018;2018-07;3;5487;3128
In-Store;28/07/2018;2018-07;6;1809;1158
In-Store;29/07/2018;2018-07;7;2405;1732
Wholesale;29/07/2018;2018-07;1;791;672
Online;29/07/2018;2018-07;2;3203;2178
Distributor;29/07/2018;2018-07;5;1059;646
Distributor;29/07/2018;2018-07;8;1769;778
In-Store;29/07/2018;2018-07;5;972;534
Online;29/07/2018;2018-07;4;938;478
Online;29/07/2018;2018-07;5;958;757
Online;29/07/2018;2018-07;8;3705;2112
Wholesale;30/07/2018;2018-07;8;1025;687
Online;30/07/2018;2018-07;7;2593;1711
Wholesale;30/07/2018;2018-07;1;3866;3054
Distributor;30/07/2018;2018-07;8;5635;4226
Distributor;30/07/2018;2018-07;3;972;622
In-Store;31/07/2018;2018-07;4;1052;694
In-Store;31/07/2018;2018-07;7;1052;684
Online;31/07/2018;2018-07;2;1139;854
In-Store;31/07/2018;2018-07;8;5849;3042
Online;31/07/2018;2018-07;4;2265;1223
In-Store;31/07/2018;2018-07;7;1126;889
Online;31/07/2018;2018-07;7;1079;755
Wholesale;31/07/2018;2018-07;4;2405;1636
In-Store;31/07/2018;2018-07;1;1072;708
Distributor;08/01/2018;2018-01;1;5809;3369
In-Store;08/01/2018;2018-01;6;3926;1845
Distributor;08/01/2018;2018-01;8;201;161
Online;08/01/2018;2018-01;1;1883;1431
Wholesale;08/01/2018;2018-01;6;2533;1089
Online;08/01/2018;2018-01;8;208;135
Online;08/01/2018;2018-01;6;241;181
In-Store;08/01/2018;2018-01;6;1152;507
Distributor;08/02/2018;2018-02;5;3879;2289
Online;08/02/2018;2018-02;4;3866;3170
Online;08/02/2018;2018-02;6;1836;1248
In-Store;08/02/2018;2018-02;5;235;181
In-Store;08/02/2018;2018-02;2;757;507
Wholesale;08/02/2018;2018-02;8;1005;704
In-Store;08/03/2018;2018-03;2;6392;5113
In-Store;08/03/2018;2018-03;8;2740;1124
Online;08/03/2018;2018-03;3;925;536
In-Store;08/03/2018;2018-03;5;1032;506
Distributor;08/03/2018;2018-03;1;1099;769
Wholesale;08/03/2018;2018-03;3;1132;713
Distributor;08/03/2018;2018-03;3;2466;1603
Online;08/03/2018;2018-03;6;1005;462
In-Store;08/04/2018;2018-04;2;1246;1022
In-Store;08/04/2018;2018-04;6;1025;810
In-Store;08/04/2018;2018-04;1;1903;1085
Distributor;08/04/2018;2018-04;2;3739;2056
In-Store;08/04/2018;2018-04;6;1997;1238
In-Store;08/04/2018;2018-04;3;2332;1819
In-Store;08/04/2018;2018-04;6;1079;701
In-Store;08/04/2018;2018-04;4;1789;1216
In-Store;08/04/2018;2018-04;3;241;162
In-Store;08/04/2018;2018-04;5;1159;533
Online;08/04/2018;2018-04;7;1052;515
In-Store;08/04/2018;2018-04;3;5970;3343
Online;08/04/2018;2018-04;3;3920;2508
Online;08/04/2018;2018-04;4;1119;492
In-Store;08/04/2018;2018-04;5;1119;571
In-Store;08/04/2018;2018-04;4;5427;3745
Distributor;08/04/2018;2018-04;2;3725;2570
Online;08/04/2018;2018-04;3;188;75
In-Store;08/04/2018;2018-04;7;4000;3360
Online;08/04/2018;2018-04;1;972;593
In-Store;08/04/2018;2018-04;5;1119;727
Online;08/05/2018;2018-05;6;864;501
In-Store;08/05/2018;2018-05;6;5782;4394
Distributor;08/05/2018;2018-05;5;905;461
Online;08/05/2018;2018-05;8;248;159
Distributor;08/05/2018;2018-05;2;1709;1213
Distributor;08/05/2018;2018-05;6;1132;702
Wholesale;08/05/2018;2018-05;6;1776;1225
In-Store;08/05/2018;2018-05;8;1903;970
In-Store;08/06/2018;2018-06;3;5963;2803
Wholesale;08/06/2018;2018-06;3;3886;2176
In-Store;08/06/2018;2018-06;6;1059;635
Online;08/06/2018;2018-06;4;5816;4420
Online;08/06/2018;2018-06;6;5353;4497
In-Store;08/06/2018;2018-06;4;5568;4566
In-Store;08/07/2018;2018-07;3;2513;2136
In-Store;08/07/2018;2018-07;3;1682;1228
In-Store;08/07/2018;2018-07;7;194;136
In-Store;08/07/2018;2018-07;4;2405;1684
Online;08/07/2018;2018-07;1;1039;706
In-Store;08/07/2018;2018-07;3;858;592
In-Store;08/07/2018;2018-07;8;1856;1355
